Price,Boat Type,Type,Material,Location,Number of views last 7 days,Year Built,Width,Length,Manufacturer,Currency,is European
5200.0,Fishing Boat,new boat from stock,Aluminium,Germany,208,1994,2.45,5.5,Ultramar power boats,EUR,European
5500.0,Sport Boat,Used boat,GRP,Switzerland,189,1981,2.54,6.4,Yachting France power boats,CHF,Not European
5500.0,Runabout,new boat from stock,Aluminium,Switzerland,131,2005,2.15,5.23,B2 Marine power boats,CHF,Not European
7200.0,Sport Boat,"Used boat,Unleaded",Plastic,Switzerland,96,2019,1.65,4.4,Fiberline power boats,CHF,Not European
49500.0,Fishing Boat,Used boat,GRP,Denmark,280,1976,2.3,5.85,Sunseeker power boats,DKK,European
6590.0,Runabout,"Used boat,Unleaded",GRP,Germany,146,2019,2.1,5.0,Mingolla power boats,EUR,European
6500.0,Cabin Boat,"Used boat,Diesel",GRP,Italy,166,2018,2.2,5.3,Allegra power boats,EUR,European
6500.0,Deck Boat,new boat from stock,GRP,Germany,873,2020,1.9,4.8,Karel power boats,EUR,European
6500.0,Pontoon Boat,"Used boat,Unleaded",GRP,Italy,258,1990,2.18,5.18,Beekmann power boats,EUR,European
6500.0,Cabin Boat,"Used boat,Unleaded",GRP,Germany,221,2018,2.18,5.53,Salmeri Boote power boats,EUR,European
6500.0,Sport Boat,"Used boat,Unleaded",GRP,Austria,96,2001,1.98,5.0,B2 Marine power boats,EUR,European
6500.0,Classic,"Used boat,Unleaded",Wood,Spain,165,2018,2.2,5.3,Allegra power boats,EUR,European
6490.0,Cabin Boat,Unleaded,GRP,Germany,78,1994,2.31,5.74,Sunbird power boats,EUR,European
7000.0,Sport Boat,Used boat,GRP,Switzerland,116,2006,2.5,5.8,Jeanneau power boats,CHF,Not European
7000.0,Cabin Boat,"Used boat,Unleaded",GRP,Switzerland,250,2016,1.4,3.1,Hellwig power boats,CHF,Not European
7000.0,Bowrider,"Used boat,Unleaded",GRP,Switzerland,173,2005,2.33,5.3,Janmor power boats,CHF,Not European
7800.0,Sport Boat,new boat from stock,GRP,Italy,183,1980,3.0,8.5,Gouwerok power boats,EUR,European
8300.0,"Sport Boat,Working Boat","Used boat,Unleaded",Aluminium,Switzerland,465,2011,1.95,4.5,Marino CN power boats,CHF,Not European
7000.0,"Cabin Boat,Classic","Used boat,Unleaded",Wood,United,393,2016,3.5201240846216435,11.570017208219456,Orkney power boats,Â£,Not European
7640.0,Deck Boat,"Used boat,Unleaded",GRP,Germany,185,1992,2.2,5.65,Crescent power boats,EUR,European
8155.0,Bowrider,"new boat from stock,Unleaded",Thermoplastic,Switzerland,64,2016,2.03,4.88,Sting power boats,CHF,Not European
7500.0,Center console boat,"Used boat,Unleaded",GRP,Germany,91,2019,2.0,4.8,Moonday power boats,EUR,European
7500.0,Cabin Boat,"Used boat,Diesel",Steel,Netherlands,138,1964,2.85,8.4,Gouwerok power boats,EUR,European
7500.0,Sport Boat,"Used boat,Unleaded",GRP,Italy,184,2019,2.1,5.7,Trimarchi  power boats,EUR,European
7500.0,Sport Boat,"Used boat,Unleaded",GRP,Austria,162,1985,2.5,6.8,Cox Marine power boats,EUR,European
7500.0,Sport Boat,"Used boat,Unleaded",PVC,France,96,1998,1.74,3.99,Majoni power boats,EUR,European
7500.0,Cabin Boat,"Used boat,Unleaded",GRP,France,256,1991,2.42,6.18,Supra power boats,EUR,European
7500.0,Center console boat,"Used boat,Unleaded",PVC,France,230,2006,1.9,7.0,MÃ¤ndli power boats,EUR,European
7500.0,Sport Boat,"Used boat,Unleaded",GRP,Germany,182,2006,1.6,6.0,MÃ¤ndli power boats,EUR,European
7500.0,Catamaran,Used boat,GRP,Netherlands,115,2020,2.1,4.99,Italmar power boats,EUR,European
8790.0,Sport Boat,new boat from stock,GRP,Germany,159,2020,1.65,4.5,Safter Marine power boats,EUR,European
9400.0,Sport Boat,"Used boat,Unleaded",GRP,Switzerland,1057,1994,2.21,5.51,Century power boats,CHF,Not European
8600.0,Sport Boat,Used boat,GRP,Italy,585,1993,2.6,8.5,Bayliner power boats,EUR,European
8600.0,Sport Boat,new boat from stock,GRP,Italy,185,1979,2.37,7.25,Cigala & Bertinetti power boats,EUR,European
9265.0,Sport Boat,"new boat on order,Unleaded",GRP,Switzerland,155,2018,2.38,5.9,Allegra power boats,CHF,Not European
9200.0,Sport Boat,"Used boat,Unleaded",GRP,Switzerland,182,1975,3.0,12.0,Costruzioni Navali Srl power boats,CHF,Not European
8500.0,Deck Boat,new boat from stock,GRP,Italy,900,1940,2.5,12.5,Werner  power boats,EUR,European
8500.0,Runabout,"Used boat,Unleaded",GRP,Slovenia,783,1991,2.36,7.15,A. Mostes power boats,EUR,European
8500.0,Center console boat,"Used boat,Unleaded",GRP,France,175,1995,2.52,7.02,Bayliner power boats,EUR,European
8500.0,Center console boat,Used boat,GRP,Italy,207,1995,2.52,7.02,Bayliner power boats,EUR,European
8500.0,Sport Boat,"Used boat,Unleaded",PVC,France,284,1988,2.34,6.3,Bayliner power boats,EUR,European
8500.0,Pilothouse,"Used boat,Unleaded",PVC,France,125,1974,2.1,4.9,Chrysler power boats,EUR,European
8500.0,Sport Boat,"Used boat,Unleaded",GRP,Germany,229,1997,2.4,6.5,Stingray power boats,EUR,European
8500.0,Center console boat,"Used boat,Unleaded",GRP,France,226,1996,2.54,7.03,Bayliner power boats,EUR,European
8500.0,"Deck Boat,Pilothouse,Sport Boat","Used boat,Unleaded",Aluminium,Germany,87,1971,2.2,5.79,Sunbird power boats,EUR,European
10500.0,Sport Boat,"Used boat,Unleaded",Wood,Switzerland,95,1999,2.15,5.2,Mery Nautic power boats,CHF,Not European
9750.0,Trawler,Used boat,Steel,Netherlands,175,1998,2.39,6.13,Glastron power boats,EUR,European
10500.0,Fishing Boat,"Used boat,Unleaded",GRP,Switzerland,173,1992,2.59,7.8,Sea Ray power boats,CHF,Not European
10500.0,Fishing Boat,Used boat,GRP,Switzerland,422,2000,2.4,6.0,Rio power boats,CHF,Not European
9650.0,Sport Boat,"Used boat,Unleaded",GRP,Germany,254,1987,2.97,7.62,Bayliner power boats,EUR,European
10400.0,Sport Boat,"Used boat,Unleaded",GRP,Switzerland,150,2020,2.12,5.07,Quicksilver (Brunswick Marine) power boats,CHF,Not European
9599.0,Cabin Boat,Unleaded,GRP,Germany,255,2020,2.1,5.1,BlueCraft power boats,EUR,European
9575.0,Sport Boat,new boat from stock,GRP,Germany,179,2020,2.22,5.2,Remus power boats,EUR,European
9553.0,Motor Yacht,new boat from stock,GRP,Netherlands,136,1977,2.3,6.7,Polar power boats,EUR,European
9500.0,Cabin Boat,Used boat,Steel,Netherlands,141,1993,2.75,7.75,BÃ©nÃ©teau power boats,EUR,European
9500.0,Sport Boat,"new boat from stock,Gas",GRP,Italy,442,1990,2.25,6.43,Cranchi power boats,EUR,European
9500.0,Motor Yacht,"Used boat,Diesel",GRP,Germany,327,1979,2.2,6.5,Wiking power boats,EUR,European
9500.0,Cabin Boat,Used boat,Steel,Netherlands,188,1988,2.49,6.16,Gobbi power boats,EUR,European
9500.0,Launch,Used boat,GRP,Spain,1101,1978,2.95,7.2,Fjord power boats,EUR,European
11000.0,Sport Boat,"Used boat,Unleaded",GRP,Switzerland,141,2005,4.96,5.0,Quicksilver power boats,CHF,Not European
11000.0,Pontoon Boat,Used boat,Wood,Switzerland,284,2019,2.39,5.3,Atlantic Marine power boats,CHF,Not European
11000.0,Fishing Boat,"Used boat,Unleaded",GRP,Switzerland,166,2019,1.0,4.0,Crescent power boats,CHF,Not European
10115.0,Sport Boat,new boat from stock,GRP,Germany,365,2019,1.75,4.5,Tinn-Silver power boats,EUR,European
10900.0,Runabout,new boat on order,GRP,Switzerland,333,1994,2.47,5.8,Larson power boats,CHF,Not European
10900.0,Sport Boat,"Used boat,Unleaded",GRP,Switzerland,235,1994,2.36,6.4,Four Winns power boats,CHF,Not European
10000.0,Sport Boat,"Used boat,Unleaded",GRP,Italy,180,2020,1.9,4.9,Maxima power boats,EUR,European
10000.0,Sport Boat,"Used boat,Unleaded",GRP,Italy,147,2019,2.0,5.0,Quicksilver (Brunswick Marine) power boats,EUR,European
10000.0,Sport Boat,new boat from stock,GRP,Italy,235,1913,3.65,14.7,Schlosswerft power boats,EUR,European
10000.0,Trawler,Used boat,Steel,Netherlands,452,1994,2.2,5.6,Sea Ray power boats,EUR,European
10000.0,Working Boat,"Used boat,Diesel",Steel,Italy,165,1983,2.85,7.2,Compromis power boats,EUR,European
10000.0,"Cabin Boat,Trawler","Used boat,Diesel",Steel,Germany,436,1984,2.5,7.05,Windy power boats,EUR,European
10000.0,Sport Boat,"Used boat,Unleaded",GRP,Italy,35,2014,2.0,5.0,Jeanneau power boats,EUR,European
10000.0,Sport Boat,Used boat,PVC,France,212,2018,1.93,4.57,Yamarin power boats,EUR,European
10000.0,Cabin Boat,"Used boat,Unleaded",PVC,France,214,2019,2.1,5.7,Eolo power boats,EUR,European
11000.0,Sport Boat,Used boat,GRP,Italy,760,1992,2.28,6.77,Draco power boats,EUR,European
11000.0,Motor Yacht,"Used boat,Unleaded",GRP,Germany,121,1998,2.48,5.95,Acquaviva (IT) power boats,EUR,European
11000.0,Cabin Boat,Used boat,GRP,Italy,110,1999,2.48,6.16,Arvor power boats,EUR,European
11000.0,Sport Boat,"Used boat,Unleaded",PVC,France,83,1995,2.57,7.75,Bayliner power boats,EUR,European
11000.0,"Bowrider,Classic","Used boat,Unleaded",Wood,France,264,1996,2.0,7.0,Lema power boats,EUR,European
11000.0,Sport Boat,"Used boat,Unleaded",GRP,France,109,2002,2.15,5.45,Ranieri power boats,EUR,European
11000.0,Cabin Boat,"Used boat,Unleaded",GRP,Italy,132,1990,2.79,8.8,Windy power boats,EUR,European
11000.0,Sport Boat,"Used boat,Unleaded",GRP,Italy,81,2014,2.0,4.5,Jeanneau power boats,EUR,European
11000.0,"Motor Yacht,Sport Boat","Used boat,Unleaded",GRP,Spain,262,2006,2.44,6.5,BÃ©nÃ©teau power boats,EUR,European
11000.0,Cabin Boat,"Used boat,Unleaded",GRP,Germany,186,1998,2.0,3.0,Bayliner power boats,EUR,European
11000.0,Sport Boat,Used boat,GRP,Netherlands,292,2020,2.25,5.76,Smartliner power boats,EUR,European
10999.0,Deck Boat,new boat from stock,GRP,Germany,119,2018,2.08,4.9,Karnic power boats,EUR,European
10999.0,Sport Boat,"new boat from stock,Unleaded",GRP,Germany,151,2006,2.16,5.25,Seagull power boats,EUR,European
10999.0,Sport Boat,new boat from stock,GRP,Germany,220,2019,1.9,4.52,B2 Marine power boats,EUR,European
10990.0,Cabin Boat,"Used boat,Unleaded",GRP,Germany,172,2019,2.45,6.35,Allegra power boats,EUR,European
10990.0,Cabin Boat,Diesel,GRP,Germany,285,2019,1.99,5.68,Romar power boats,EUR,European
12000.0,Sport Boat,"Used boat,Unleaded",PVC,France,281,1997,3.0,9.15,Gobbi power boats,EUR,European
12000.0,"Classic,Runabout,Sport Boat","Used boat,Unleaded",GRP,Serbia,152,2019,2.38,6.42,Mingolla power boats,EUR,Not European
12000.0,Cabin Boat,"Used boat,Unleaded",Wood,Germany,132,1990,2.38,6.42,Gobbi power boats,EUR,European
12000.0,Cabin Boat,"Used boat,Diesel",GRP,Germany,70,2018,2.35,5.6,Allegra power boats,EUR,European
12000.0,Sport Boat,"Used boat,Unleaded",Plastic,Italy,118,2008,2.07,4.99,SAS-Vektor power boats,EUR,European
12000.0,"Cabin Boat,Motor Yacht","Used boat,Diesel",GRP,Germany,208,1992,2.59,7.16,Rinker power boats,EUR,European
12000.0,Cabin Boat,"Used boat,Unleaded",Steel,Netherlands,238,2008,2.47,5.55,Quicksilver power boats,EUR,European
11990.0,Sport Boat,new boat from stock,Aluminium,Germany,156,2014,1.85,4.7,Marinello power boats,EUR,European
11990.0,Sport Boat,"Used boat,Unleaded",PVC,France,111,1983,3.0,10.0,Sea Ray power boats,EUR,European
12950.0,Sport Boat,new boat from stock,GRP,Switzerland,87,2020,2.18,5.55,Ranieri International power boats,CHF,Not European
89000.0,Sport Boat,new boat from stock,GRP,Denmark,70,2019,1.95,4.7,Vizion power boats,DKK,European
89000.0,Launch,new boat from stock,GRP,Denmark,356,1980,3.14,9.1,Draco power boats,DKK,European
12900.0,Runabout,new boat from stock,GRP,Switzerland,198,1984,2.5,7.9,Hilter power boats,CHF,Not European
12900.0,Working Boat,"Display Model,Unleaded",Aluminium,Switzerland,68,2017,2.15,5.15,Jeanneau power boats,CHF,Not European
13888.0,Runabout,"Used boat,Unleaded",GRP,Switzerland,103,2018,1.96,5.3,Ultramar power boats,CHF,Not European
12800.0,Sport Boat,"Used boat,Unleaded",GRP,Germany,80,2020,2.18,5.55,Ranieri International power boats,EUR,European
12800.0,Sport Boat,Used boat,GRP,Belgium,180,2002,2.1,5.0,Jeanneau power boats,EUR,European
12770.0,Bowrider,new boat from stock,GRP,Germany,145,1995,2.5,6.5,Seaswirl power boats,EUR,European
94990.0,Launch,new boat from stock,GRP,Denmark,185,2007,2.31,6.12,Maxum power boats,DKK,European
12750.0,Deck Boat,new boat from stock,GRP,Germany,125,1979,2.5,6.5,Fjord Plast power boats,EUR,European
12500.0,Deck Boat,"new boat from stock,Unleaded",GRP,Italy,311,1979,2.5,7.0,SkilsÃ¶ power boats,EUR,European
12500.0,Trawler,"Used boat,Diesel",Steel,Netherlands,219,2020,2.29,5.5,Quicksilver (Brunswick Marine) power boats,EUR,European
12500.0,Trawler,"Used boat,Diesel",Steel,Germany,71,2017,2.0,5.0,Jeanneau power boats,EUR,European
12500.0,Sport Boat,"Used boat,Unleaded",GRP,Italy,56,2020,2.36,5.48,Jeanneau power boats,EUR,European
12500.0,Cabin Boat,Used boat,GRP,Netherlands,116,2019,2.25,6.0,Ranieri power boats,EUR,European
12500.0,"Classic,Launch",Used boat,Wood,Netherlands,45,2019,1.0,5.0,Crescent power boats,EUR,European
12500.0,"Classic,Launch",Used boat,Wood,Netherlands,53,2018,1.83,4.57,Buster power boats,EUR,European
14800.0,"Cabin Boat,Sport Boat","Used boat,Unleaded",GRP,Switzerland,201,1992,2.4,6.19,Milan  power boats,CHF,Not European
13690.0,Deck Boat,new boat from stock,PVC,Slovak,99,2020,2.36,5.48,Jeanneau power boats,EUR,Not European
14700.0,Bowrider,new boat from stock,GRP,Switzerland,60,2019,2.08,5.15,AMT power boats,CHF,Not European
13566.0,Sport Boat,new boat from stock,GRP,Germany,387,1995,2.57,7.2,Doral power boats,EUR,European
14500.0,Pilothouse,"Used boat,Unleaded",GRP,Switzerland,399,2020,2.25,6.4,Smartliner power boats,CHF,Not European
13500.0,Sport Boat,"Used boat,Unleaded",GRP,Italy,149,2019,2.0,5.0,Morningstar power boats,EUR,European
13500.0,Sport Boat,"Used boat,Unleaded",GRP,Italy,50,2020,1.0,4.0,Yamarin power boats,EUR,European
13500.0,Pilothouse,"Used boat,Diesel",PVC,France,141,1998,2.6,7.35,Bombardier power boats,EUR,European
13500.0,Motor Yacht,Used boat,GRP,Netherlands,53,2017,2.25,6.45,Smartliner power boats,EUR,European
13500.0,Sport Boat,"Used boat,Diesel",PVC,Spain,154,1992,2.34,6.3,Four Winns power boats,EUR,European
13500.0,Center console boat,"Used boat,Unleaded",GRP,Italy,244,1995,2.59,8.53,Wellcraft power boats,EUR,European
13500.0,Sport Boat,"Used boat,Unleaded",GRP,Croatia,107,2019,2.16,5.6,Allegra power boats,EUR,European
13500.0,Deck Boat,"Used boat,Unleaded",PVC,France,405,1985,3.06,8.04,Fairline power boats,EUR,European
13500.0,Sport Boat,"Used boat,Diesel",Steel,France,62,2005,2.59,7.15,Jeanneau power boats,EUR,European
13500.0,Launch,"Used boat,Unleaded",Wood,Netherlands,98,2005,2.59,7.15,Jeanneau power boats,EUR,European
14500.0,Bowrider,"Used boat,Unleaded",PVC,Portugal,152,2003,2.34,5.47,BÃ©nÃ©teau power boats,EUR,European
15600.0,Fishing Boat,new boat on order,GRP,Switzerland,339,2019,2.01,5.01,Bella power boats,CHF,Not European
14366.0,Runabout,new boat from stock,GRP,Germany,247,2020,2.03,5.83,Saver power boats,EUR,European
15500.0,Center console boat,"Used boat,Unleaded",GRP,Switzerland,241,2020,2.03,4.95,Lund Boats power boats,CHF,Not European
15400.0,Motor Yacht,new boat from stock,GRP,Switzerland,331,1997,2.5,6.5,Mariah power boats,CHF,Not European
14200.0,Sport Boat,Used boat,GRP,Italy,144,2005,2.47,6.22,Quicksilver power boats,EUR,European
14200.0,Sport Boat,new boat from stock,GRP,Switzerland,192,2010,2.4,5.4,Ocqueteau power boats,EUR,Not European
14000.0,Sport Boat,Used boat,GRP,Italy,149,1984,2.8,8.6,Pedro power boats,EUR,European
14000.0,Deck Boat,Used boat,GRP,Italy,164,1984,2.0,7.0,Hanto power boats,EUR,European
14000.0,Sport Boat,"Used boat,Unleaded",GRP,Italy,162,1977,2.75,7.5,Winga power boats,EUR,European
14000.0,Sport Boat,new boat from stock,GRP,Italy,215,2019,1.94,5.0,VBoats power boats,EUR,European
14000.0,Cabin Boat,"Used boat,Unleaded",GRP,Croatia,335,2001,2.34,5.71,Campion power boats,EUR,European
14000.0,Sport Boat,"Used boat,Unleaded",GRP,Italy,686,1990,2.45,6.5,Sunbird power boats,EUR,European
14950.0,Motor Yacht,Used boat,GRP,Germany,1028,1998,2.32,5.9,Correct Craft power boats,EUR,European
14900.0,Sport Boat,"new boat from stock,Unleaded",GRP,Germany,409,2020,2.06,4.99,Ranieri International power boats,EUR,European
14900.0,Motor Yacht,"Used boat,Unleaded",GRP,Croatia,293,1986,2.3,7.5,Tullio Abbate power boats,EUR,European
14900.0,Pontoon Boat,"new boat from stock,Unleaded",GRP,Italy,132,2004,2.29,6.53,Tullio Abbate power boats,EUR,European
14900.0,Fishing Boat,new boat from stock,Aluminium,Germany,375,1990,2.47,7.96,Sunseeker power boats,EUR,European
14900.0,"Cabin Boat,Classic",Used boat,Wood,Netherlands,333,2003,2.0,6.2,Quicksilver (Brunswick Marine) power boats,EUR,European
14900.0,Flybridge,"Used boat,Diesel",GRP,Italy,129,1993,2.72,7.35,Saura power boats,EUR,European
14900.0,Cabin Boat,"Used boat,Unleaded",GRP,Germany,211,2004,2.48,6.21,Yamarin power boats,EUR,European
14900.0,Deck Boat,"Used boat,Unleaded",PVC,France,188,1996,2.3,6.1,Nidelv power boats,EUR,European
14900.0,Center console boat,"Used boat,Unleaded",GRP,Germany,334,1993,2.94,8.0,Bayliner power boats,EUR,European
14900.0,Trawler,Used boat,Steel,Netherlands,119,2009,2.29,5.59,Ebbtide power boats,EUR,European
14900.0,Pontoon Boat,"new boat from stock,Unleaded",GRP,Switzerland,110,2015,2.25,5.33,Drago Boats power boats,EUR,Not European
14900.0,Trawler,Used boat,Steel,Netherlands,149,2020,2.27,6.15,Clear power boats,EUR,European
14900.0,Cabin Boat,"Used boat,Unleaded",GRP,Germany,254,1990,2.4,6.5,Nor-Dan power boats,EUR,European
15500.0,Cabin Boat,"Used boat,Unleaded",GRP,Germany,324,2020,2.4,6.1,Invictus power boats,EUR,European
15500.0,Deck Boat,"new boat from stock,Unleaded",GRP,Italy,220,1991,2.59,7.62,Donzi power boats,EUR,European
15500.0,Sport Boat,"Used boat,Diesel",GRP,Malta,540,2008,2.16,4.67,Sea-Doo power boats,EUR,European
15500.0,Sport Boat,"Used boat,Unleaded",GRP,Austria,339,1991,2.57,7.22,Chris Craft power boats,EUR,European
15500.0,"Motor Yacht,Sport Boat","Used boat,Unleaded",GRP,Austria,73,2020,2.43,5.52,BÃ©nÃ©teau power boats,EUR,European
15500.0,Trawler,Used boat,Steel,Netherlands,185,2020,2.25,6.4,Smartliner power boats,EUR,European
15500.0,Trawler,"Used boat,Diesel",GRP,Germany,401,2020,1.9,5.0,Safter Marine power boats,EUR,European
15499.0,Cabin Boat,new boat from stock,GRP,Germany,2026,1993,2.34,6.14,Sea Ray power boats,EUR,European
15490.0,Deck Boat,new boat from stock,PVC,Slovak,95,2020,2.0,4.0,Yamarin power boats,EUR,Not European
15446.0,Center console boat,new boat on order,GRP,Germany,145,2020,1.96,4.86,Yamarin power boats,EUR,European
15400.0,Center console boat,new boat from stock,GRP,Italy,101,1975,3.1,8.2,Waterland power boats,EUR,European
114500.0,Deck Boat,"Used boat,Diesel",GRP,Denmark,78,2005,2.25,6.1,KOK power boats,DKK,European
14950.0,Center console boat,new boat from stock,GRP,United,261,2003,2.37,5.89,Bayliner power boats,Â£,Not European
17684.0,Fishing Boat,"new boat from stock,Unleaded",Aluminium,Switzerland,163,2014,2.27,5.95,Calcagno power boats,CHF,Not European
17500.0,Pilothouse,"Used boat,Diesel",GRP,Switzerland,117,2020,2.1,5.1,Ranieri International power boats,CHF,Not European
16220.0,Center console boat,new boat from stock,GRP,Germany,217,2019,2.44,6.12,Quicksilver (Brunswick Marine) power boats,EUR,European
16190.0,Sport Boat,new boat from stock,GRP,Germany,122,1997,2.59,7.5,Crownline power boats,EUR,European
17500.0,Pontoon Boat,"Used boat,Unleaded",GRP,Switzerland,165,1995,2.58,7.83,Chris Craft power boats,CHF,Not European
17400.0,Pilothouse,new boat on order,GRP,Switzerland,375,1996,2.29,6.16,Bayliner power boats,CHF,Not European
17400.0,Center console boat,new boat from stock,Aluminium,Switzerland,130,1976,2.25,5.6,Solcio power boats,CHF,Not European
119500.0,Deck Boat,new boat from stock,GRP,Denmark,80,1994,1.97,4.95,Buster power boats,DKK,European
16000.0,Sport Boat,"Used boat,Unleaded",GRP,Croatia,50,1996,2.45,5.97,Ala Blu power boats,EUR,European
16900.0,Pilothouse,"Used boat,Unleaded",PVC,Montenegro,89,2002,2.44,6.97,Kelt power boats,EUR,Not European
16900.0,Cabin Boat,"Used boat,Unleaded",GRP,Germany,97,2006,2.3,6.23,Jeanneau power boats,EUR,European
16900.0,Bowrider,"Used boat,Unleaded",GRP,France,280,1984,2.9,8.15,Fjord power boats,EUR,European
16900.0,Center console boat,"Used boat,Unleaded",GRP,Italy,206,1970,2.02,5.1,Boesch power boats,EUR,European
16900.0,"Cabin Boat,Sport Boat","Used boat,Unleaded",GRP,Germany,159,2017,2.25,5.7,Smartliner power boats,EUR,European
16900.0,Motor Yacht,Used boat,PVC,France,157,1969,3.1,8.5,Doerak Sneek power boats,EUR,European
16900.0,Motor Yacht,"Used boat,Unleaded",PVC,France,153,2020,2.54,5.75,Quicksilver (Brunswick Marine) power boats,EUR,European
16900.0,Sport Boat,"Used boat,Unleaded",PVC,Spain,115,2018,2.37,6.08,Sting power boats,EUR,European
16900.0,Trawler,Used boat,GRP,Rovinij,537,1989,3.0,8.5,Scand power boats,EUR,Not European
18260.0,Bowrider,Display Model,GRP,Switzerland,176,1992,2.5,7.63,Airon Marine power boats,CHF,Not European
16870.0,Sport Boat,new boat from stock,GRP,Germany,415,1993,2.47,7.6,Cranchi power boats,EUR,European
